"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK2","Without Sequence","46.60","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK2","Without Sequence","41.33","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|DK2","Without Sequence","42.18","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|DK2","Without Sequence","44.37","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|DK2","Without Sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|DK2","Without Sequence","39.70","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|DK2","Without Sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|DK2","Without Sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|DK2","Without Sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|DK2","Without Sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|DK2","Without Sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|DK2","Without Sequence","84.10","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|DK2","Without Sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|DK2","Without Sequence","96.80","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|DK2","Without Sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|DK2","Without Sequence","101.27","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|DK2","Without Sequence","126.60","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|DK2","Without Sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|DK2","Without Sequence","146.33","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|DK2","Without Sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|DK2","Without Sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|DK2","Without Sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|DK2","Without Sequence","95.12","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|DK2","Without Sequence","83.11","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|DK2","Without Sequence","34.73","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|DK2","Without Sequence","34.39","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|DK2","Without Sequence","34.36","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|DK2","Without Sequence","34.10","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|DK2","Without Sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|DK2","Without Sequence","33.97","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|DK2","Without Sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|DK2","Without Sequence","41.80","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|DK2","Without Sequence","48.95","",""
